Title,Name,Team,Name Trend,Team Trend,Year,Print Run,Patch,Jsy,Sticker,Rookie,Memorbilia,Autographed,Serial Number,Cost
2005-06 Artifacts #101 Glenn Anderson AL ,Glenn Anderson,Edmonton Oilers,1580,2477,2005,899,0,0,0,0,0,0,1,2.065
2005-06 Artifacts #102 Bill Barber AL , Bill Barber,Philadelphia Flyers,1668,1906,2005,899,0,0,0,0,0,0,1,1.66
2005-06 Artifacts #107 Johnny Bucyk AL , Johnny Bucyk,Boston Bruins,1105,1076,2005,899,0,0,0,0,0,0,1,1.375
2005-06 Artifacts #109 Gerry Cheevers AL , Gerry Cheevers,Boston Bruins,1372,1076,2005,899,0,0,0,0,0,0,1,3.5
2005-06 Artifacts #112 Gordie Howe AL , Gordie Howe,Detroit Red Wings,2118,1931,2005,899,0,0,0,0,0,0,1,3.926666667
2005-06 Artifacts #113 Wayne Gretzky AL , Wayne Gretzky,Edmonton Oilers,1418,2477,2005,899,0,0,0,0,0,0,1,8.475
2005-06 Artifacts #117 Grant Fuhr AL , Grant Fuhr,Edmonton Oilers,1219,2477,2005,899,0,0,0,0,0,0,1,2.87
2005-06 Artifacts #118 Bernie Geoffrion AL , Bernie Geoffrion,Montreal Canadiens,557,2057,2005,899,0,0,0,0,0,0,1,1.633333333
2005-06 Artifacts #120 Butch Goring AL , Butch Goring,New York Islanders,1822,1697,2005,899,0,0,0,0,0,0,1,0.993333333
2005-06 Artifacts #122 Paul Henderson AL , Paul Henderson,Toronto Maple Leafs,1283,1127,2005,899,0,0,0,0,0,0,1,1.6
2005-06 Artifacts #124 Al Iafrate AL , Al Iafrate,Toronto Maple Leafs,2027,1127,2005,899,0,0,0,0,0,0,1,1.266666667
2005-06 Artifacts #125 Red Kelly AL , Red Kelly,Detroit Red Wings,728,1931,2005,899,0,0,0,0,0,0,1,1.95
2005-06 Artifacts #130 Hakan Loob AL , Hakan Loob,Calgary Flames,758,730,2005,899,0,0,0,0,0,0,1,1.275
2005-06 Artifacts #131 Frank Mahovlich AL , Frank Mahovlich,Toronto Maple Leafs,2692,1127,2005,899,0,0,0,0,0,0,1,2.253333333
2005-06 Artifacts #133 Lanny McDonald AL , Lanny McDonald,Toronto Maple Leafs,1210,1127,2005,899,0,0,0,0,0,0,1,1.676
2005-06 Artifacts #134 Stan Mikita AL , Stan Mikita,Chicago Blackhawks,988,2291,2005,899,0,0,0,0,0,0,1,1.55
2005-06 Artifacts #137 Larry Murphy AL , Larry Murphy,Pittsburgh Penguins,1132,1838,2005,899,0,0,0,0,0,0,1,1.133333333
2005-06 Artifacts #138 Cam Neely AL , Cam Neely,Boston Bruins,427,1076,2005,899,0,0,0,0,0,0,1,1.62
2005-06 Artifacts #140 Bob Nystrom AL , Bob Nystrom,New York Islanders,1461,1697,2005,899,0,0,0,0,0,0,1,0.844
2005-06 Artifacts #141 Terry O'Reilly AL , Terry O'Reilly,Boston Bruins,395,1076,2005,899,0,0,0,0,0,0,1,1.75
2005-06 Artifacts #143 Gilbert Perreault AL , Gilbert Perreault,Buffalo Sabres,1465,2180,2005,899,0,0,0,0,0,0,1,1.55
2005-06 Artifacts #144 Rene Robert AL , Rene Robert,Buffalo Sabres,1232,2180,2005,899,0,0,0,0,0,0,1,0.67
2005-06 Artifacts #146 Denis Savard AL , Denis Savard,Chicago Blackhawks,1315,2291,2005,899,0,0,0,0,0,0,1,1.873333333
2005-06 Artifacts #149 Dave Taylor AL , Dave Taylor,Los Angeles Kings,858,2501,2005,899,0,0,0,0,0,0,1,1.351428571
2005-06 Artifacts #151 Sergei Fedorov AS , Sergei Fedorov,Anaheim Ducks,1698,2544,2005,899,0,0,0,0,0,0,1,2.733333333
2005-06 Artifacts #152 Ilya Kovalchuk AS , Ilya Kovalchuk,Atlanta Thrashers,993,1964,2005,899,0,0,0,0,0,0,1,1.793333333
2005-06 Artifacts #154 Joe Thornton AS , Joe Thornton,Boston Bruins,689,1076,2005,899,0,0,0,0,0,0,1,2.52
2005-06 Artifacts #155 Glen Murray AS , Glen Murray,Boston Bruins,1157,1076,2005,899,0,0,0,0,0,0,1,1.346666667
2005-06 Artifacts #157 Eric Daze AS , Eric Daze,Chicago Blackhawks,794,2291,2005,899,0,0,0,0,0,0,1,1.75
2005-06 Artifacts #158 Joe Sakic AS - Serial #'d/999, Joe Sakic,Colorado Avalanche,1416,1163,2005,899,0,0,0,0,0,0,1,3.15
2005-06 Artifacts #160 Milan Hejduk AS , Milan Hejduk,Colorado Avalanche,1289,1163,2005,899,0,0,0,0,0,0,1,1.328
2005-06 Artifacts #161 Alex Tanguay AS , Alex Tanguay,Colorado Avalanche,1574,1163,2005,899,0,0,0,0,0,0,1,1.6875
2005-06 Artifacts #163 Mike Modano AS , Mike Modano,Dallas Stars,1362,823,2005,899,0,0,0,0,0,0,1,2.656
2005-06 Artifacts #164 Bill Guerin AS , Bill Guerin,Dallas Stars,297,823,2005,899,0,0,0,0,0,0,1,1.822
2005-06 Artifacts #166 Brendan Shanahan AS , Brendan Shanahan,Detroit Red Wings,1449,1931,2005,899,0,0,0,0,0,0,1,1.637142857
2005-06 Artifacts #168 Pavel Datsyuk AS - Serial #'d/999, Pavel Datsyuk,Detroit Red Wings,583,1931,2005,899,0,0,0,0,0,0,1,2.49
